Author,Additional Authors,Title,Year,Publication,Publisher,Media Format,Link,Region,Country,Language,Theme_1,Theme_2,Theme_3,Theme_4,Open Source?,other tags/notes
"Barton, Craig",,Sites of Memory: Perspectives on Architecture and Race,2001,,Princeton Architectural Press,Book - Entire,https://books.google.ca/books/about/Sites_of_Memory.html?id=ONpedS-joqMC&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Architecture and Urban Design,Urban History,"Culture, Placemaking, and Black Geographies",,,
"Battle-Baptiste, Whitney",Britt Russert,W.E.B. DuBois's Data Portraits: Visualizing Black America,2018,,Princeton Architectural Press,Book - Entire,https://books.google.ca/books/about/W_E_B_Du_Bois_s_Data_Portraits.html?id=zft0DwAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Racial and Social Justice,Urban History,,,,
"Bell, Carla Jackson",,Space Unveiled: Invisible Cultures in the Design Studio,2014,,Routledge,Book - Entire,https://books.google.ca/books/about/Space_Unveiled.html?id=DmctBAAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Black Perspectives on Planning Practice and Education,Architecture and Urban Design,Architecture and Urban Design,,,
"Blackwell, Angela Glover",,The Case for All In Cities,2015,Just City Essays: Volume One,"J. Max Bond Center, CUNY",Book - Chapter,https://static1.squarespace.com/static/5b5dfb72697a9837b1f6751b/t/5b7d8b5a88251b1adad06c60/1534954340713/JustCityEssays.pdf,North America,United States,English,Racial and Social Justice,"Culture, Placemaking, and Black Geographies",Community Organizing and Citizen Participation,,,
"Bobo, Lawrence",," Implications for Planners of Race, Inequality, and a Persistent 'Color Line'",2000,"In The Profession of City Planning: Changes, Images and Challenges: 1950-2000",Rutgers University Press,Book - Chapter,https://www.taylorfrancis.com/books/e/9781315134253/chapters/10.4324/9781315134253-33,North America,United States,English,Black Perspectives on Planning Practice and Education,,,,,
"Boone, Kofi",,"Disembodied voices, embodied places: Mobile technology, enabling discourse, and interpreting place",2015,Landscape and Urban Planning,,Journal Article,https://www.researchgate.net/publication/282487456_Disembodied_voices_embodied_places_Mobile_technology_enabling_discourse_and_interpreting_place,North America,United States,English,Mapping and GIS,Community Organizing and Citizen Participation,Public Space and Parks,,,
"Boone, Kofi",,Black Landscapes Matter,2018,Ground Up,,Online Material,http://groundupjournal.org/black-landscapes-matter,North America,United States,English,,,,,,
"Boone, Kofi",,Race and Landform - Racialized Topography,2010,,,Video,https://vimeo.com/11807115,North America,United States,English,Urban History,"Sustainability, Environment, and Health",Mapping and GIS,Segregation and Redlining,,
"Botchwey, Nisha D.","Nick Johnson, L. Katie O'Connell and Anna J. Kim",Including Youth in the Ladder of Citizen Participation,2019,Journal of the American Planning Association,,Journal Article,https://www.tandfonline.com/doi/abs/10.1080/01944363.2019.1616319?journalCode=rjpa20,North America,United States,English,Community Organizing and Citizen Participation,,,,,
"Brown, Adrienne R.","Smith, Valerie",Race and Real Estate,2016,,Oxford University Press,Book - Entire,https://books.google.ca/books/about/Race_and_Real_Estate.html?id=k6d_CgAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,"Politics of Land, Property, and Colonialism",Public Housing and Cooperatives,Segregation and Redlining,,,
"Brown, Charles T. ",,Cycling Equity: Barriers to Bike Access and Use in Communities of Color,2017,,NACTO,Video,https://www.youtube.com/watch?v=fGZpZ15HvnM&feature=emb_title,North America,United States,English,Transportation,Development and Gentrification,,,,
"Brown, David P.",,Noise Orders,2006,,University of Minnesota Press,Book - Entire,https://books.google.ca/books/about/Noise_Orders.html?id=BkFTlCj0vR0C&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Architecture and Urban Design,"Culture, Placemaking, and Black Geographies",,,,
"Brown, Lawrence",,Two Baltimores: The White L vs. The Black Butterfly,2016,,City Paper,Online Material,https://www.baltimoresun.com/citypaper/bcpnews-two-baltimores-the-white-l-vs-the-black-butterfly-20160628-htmlstory.html ,North America,United States,English,Segregation and Redlining,Urban History,,,,
"Brown, Lawrence",,Baltimore Apartheid,2017,,,Video,https://www.youtube.com/watch?v=P_zKrBh-m30,North America,United States,English,Segregation and Redlining,Urban History,,,,
"Brown, Lawrence",,Investing in Baltimore’s Black Butterfly,2020,,Invest in Baltimore,Video,https://www.youtube.com/watch?v=YzfvCpHHpVo ,North America,United States,English,Segregation and Redlining,Urban History,,,,
"Bullard, Robert",,"The Black Metropolis in the 21st Century: Race, Power and the Politics of Place",2007,,Rowan & Littlefield,Book - Entire,https://books.google.ca/books/about/The_Black_Metropolis_in_the_Twenty_First.html?id=bZ6aAAAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,"Culture, Placemaking, and Black Geographies",Racial and Social Justice,,,,
"Bullard, Robert D.","Johnson, Glenn S.",Just transportation: Dismantling race and class barriers to mobility,1997,,New Society Pub,Book - Entire,https://books.google.ca/books/about/Just_Transportation.html?id=zEofAQAAIAAJ&redir_esc=y,North America,United States,English,Transportation,Racial and Social Justice,,,,
"Bullard, Robert D.",,Addressing Urban Transportation Equity in the United States,2004,Fordham Urban Law Journal,,Journal Article,https://ir.lawnet.fordham.edu/cgi/viewcontent.cgi?article=2193&context=ulj,North America,United States,English,Transportation,,,,,
"Bullard, Robert D.",,All Transit is Not Created Equal,2006,"Race, Poverty, and the Environment",,Journal Article,https://www.jstor.org/stable/41555221?seq=1#metadata_info_tab_contents,North America,United States,English,Transportation,,,,,
"Bullard, Robert D. ","Johnson, Glenn S., and Torres, Angel O.",Dismantling Transportation Apartheid in the United States Before and After Disasters Strike,2007,,American Bar Association,Report,https://www.americanbar.org/groups/crsj/publications/human_rights_magazine_home/human_rights_vol34_2007/summer2007/hr_summer07_bujoto/,North America,United States,English,Transportation,,,,,
"Bullard, Robert D. (ed) ",,"Growing Smarter: Achieving Livable Communities, Environmental Justice, and Regional Equity",2008,,MIT Press,Book - Entire,https://mitpress.mit.edu/books/growing-smarter,North America,United States,English,Development and Gentrification,"Sustainability, Environment, and Health",Racial and Social Justice,,,
"Bullard, Robert D. (ed) ","Johnson, Glenn S., and Torres, Angel O.",Highway Robbery: Transportation Racism & New Routes to Equity,2004,,South End Press,Book - Entire,https://www.researchgate.net/publication/260307658_Highway_Robbery_Transportation_Racism_New_Routes_to_Equity,North America,United States,English,Transportation,Racial and Social Justice,,,,
"Bullard, Robert D. (ed) ","Johnson, Glenn S., and Torres, Angel O.","Sprawl city: Race, politics, and planning in Atlanta",2000,,Island Press,Book - Entire,https://books.google.ca/books/about/Sprawl_City.html?id=Arg-DU8tQF8C&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Development and Gentrification,Racial and Social Justice,Segregation and Redlining,,,
"Butler, Tamika",,Planning While Black,2016,,NACTO,Video,https://www.youtube.com/watch?time_continue=4&v=T4R7MuNBMvk&feature=emb_logo,North America,United States,English,Black Perspectives on Planning Practice and Education,Racial and Social Justice,Feminist and Queer Urbanism ,,,
"Butler, Tamika",,Why We Must Talk about Race when We Talk about Bikes,2020,Bicycling,,Online Material,https://www.bicycling.com/culture/a32783551/cycling-talk-fight-racism/,North America,United States,English,Transportation,Racial and Social Justice,Feminist and Queer Urbanism ,,,
"Chamoiseau, Patrick",,Texaco,1992,Blanche,Gallimard,Book - Entire,https://books.google.ca/books/about/Texaco.html?id=Y7RDDwAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,Caribbean,Martinique,English,Racial and Social Justice,,,,,
"Christmas-Rouse, Chandra",,"Race, Space and the Poetics of Planning: Toward a Black Feminist Space-Making Practice",2016,,Harvard University Graduate School of Design,Thesis,https://issuu.com/chandrachristmas-rouse/docs/race_space_and_the_poetics_of_plann,North America,United States,English,Feminist and Queer Urbanism ,"Culture, Placemaking, and Black Geographies",,,,
"Coates, Ta-Nehisi",,The Case for Reparations,2014,The Atlantic,,Online Material,https://www.theatlantic.com/magazine/archive/2014/06/the-case-for-reparations/361631/ ,North America,United States,English,"Politics of Land, Property, and Colonialism",Racial and Social Justice,Public Housing and Cooperatives,,,
"Davis, Angela",,"Women, Race and Class",1983,,Penguin Random House,Book - Entire,,North America,United States,English,Feminist and Queer Urbanism ,Racial and Social Justice,Black Perspectives on Planning Practice and Education,,,
"Delsol, Sherea",Monica Berra and Gini Richards,Soul City,2016,,,Video,http://www.soulcityfilm.com/ ,North America,United States,English,Urban History,Racial and Social Justice,Community Organizing and Citizen Participation,,,
"St. Clair Drake, John Gibbs",Horace R. Cayton,Black Metropolis: A Study of Negro Life in a Northern City,1945,,University of Chicago Press,Book - Entire,https://press.uchicago.edu/ucp/books/book/chicago/B/bo20832325.html,North America,United States,English,"Culture, Placemaking, and Black Geographies",Urban History,,,,
"DuBois, W.E.B.",,The Philadelphia Negro,1899,,"Harcourt, Brace and Company",Book - Entire,https://books.google.ca/books/about/The_Philadelphia_Negro.html?id=qqkJAAAAIAAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,"Culture, Placemaking, and Black Geographies",Urban History,,,,
"Ebo, Ifeoma",,Building Resilience and Inspiring Justice by Design,2019,The Centre for Conscious Design,,Online Material,https://theccd.org/article/building-resilience-and-inspiring-justice-by-design/,North America,United States,English,Community Organizing and Citizen Participation,Architecture and Urban Design,Public Space and Parks,,,
"Ebo, Ifeoma",,Design Around the Edges,2018,The Location of Justice,Urban Omnibus,Online Material,https://urbanomnibus.net/2018/04/design-around-edges/,North America,United States,English,Black Perspectives on Planning Practice and Education,"Crime, Policing, and Surveillance","Culture, Placemaking, and Black Geographies",,,
"Ebo, Ifeoma",,"#cocreateDESIGN FESTIVAL | Ifeoma Ebo, Director of Strategic Design Initiatives at NY Mayor’s Office",2019,,cocreateSANL,Video,https://www.youtube.com/watch?v=hfoZ2roCgUQ,North America,United States,English,"Culture, Placemaking, and Black Geographies","Crime, Policing, and Surveillance",Community Organizing and Citizen Participation,,,
"Eley, Carlton",,Planner Profile: Carlton Eley - Equitable Development & Environmental Justice,,,University of Pennsylvania Press,Video,https://www.planning.org/plannerprofile/carltoneley/ ,North America,United States,English,Black Perspectives on Planning Practice and Education,,,,,
"Etienne, Harley",,Pushing Back the Gates: Neighborhood-Level Perspectives on University-Led Urban Revitalization,2012,,Temple University Press,Book - Entire,http://tupress.temple.edu/book/1272,North America,United States,English,Development and Gentrification,Development and Gentrification,,,,
"Etienne, Harley",Barbara Faga,Planning Atlanta,2015,,Routledge,Book - Entire,https://books.google.ca/books/about/Planning_Atlanta.html?id=y449DwAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Urban History,Municipal Policy and Governance,,,,
"Etienne, Harley",,The Detached Single-Family Home: Genie and Its Bottle,2020,Journal of the American Planning Association,,Journal Article,https://www.tandfonline.com/doi/full/10.1080/01944363.2019.1689018,North America,United States,English,Segregation and Redlining,Public Housing and Cooperatives,,,,
"Faber, Jacob W",,Segregation and the geography of creditworthiness: Racial inequality in a recovered mortgage market,2018,Housing Policy Debate,,Journal Article,https://www.tandfonline.com/doi/abs/10.1080/10511482.2017.1341944?journalCode=rhpd20,North America,United States,English,Segregation and Redlining,Public Housing and Cooperatives,,,,
"Faber, Jacob W.",Ingrid G. Ellen,Race and the Housing Cycle: Differences in Home Equity Trends Among Long-Term Homeowners,2016,Housing Policy Debate,,Journal Article,https://wagner.nyu.edu/files/faculty/publications/Faber_Ellen_2016_Race_and_the_Housing_Cycle.pdf,North America,United States,English,Segregation and Redlining,Public Housing and Cooperatives,,,,
"Fields, Darrell",,"Architecture in Black: Theory, Space and Appearance",2016,,Bloomsbury Academic,Book - Entire,https://books.google.ca/books/about/Architecture_in_Black.html?id=IQfSBgAAQBAJ&redir_esc=y,North America,United States,English,Architecture and Urban Design,,,,,
"Finney, Carolyn",,"Black Faces, White Spaces: Reimagining the Relationship of African Americans to the Great Outdoors",2014,,University of North Carolina Press,Book - Entire,https://books.google.ca/books/about/Black_Faces_White_Spaces.html?id=wg6pAwAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,,,,,,
"Freeman-Wilson, Karen",,Home-Grown Justice In a Legacy City,2015,Just City Essays: Volume One,"J. Max Bond Center, CUNY",Book - Chapter,https://static1.squarespace.com/static/5b5dfb72697a9837b1f6751b/t/5b7d8b5a88251b1adad06c60/1534954340713/JustCityEssays.pdf,North America,United States,English,Racial and Social Justice,,,,,
"Freeman, Lance",,There Goes the ‘Hood: Views of Gentrification from the Ground Up,2006,,Temple University Press,Book - Entire,https://books.google.ca/books/about/There_Goes_the_Hood.html?id=7GYL-g6_lnUC&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Development and Gentrification,"Culture, Placemaking, and Black Geographies",,,,
"Freeman, Lance",,A Haven and a Hell: the Ghetto in Black America,2019,,Columbia University Press,Book - Entire,https://books.google.ca/books/about/A_Haven_and_a_Hell.html?id=M2NbDwAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,"Culture, Placemaking, and Black Geographies",,,,,
"Freeman, Lance",,Is Class Becoming a More Important Determinant of Neighborhood Attainment for African-Americans?,2008,Urban Affairs Review,,Journal Article,https://journals.sagepub.com/doi/10.1177/1078087408315876,North America,United States,English,Segregation and Redlining,,,,,
"Freeman, Lance",Yunjing Li,Do Source of Income Anti-discrimination Laws Facilitate Access to Less Disadvantaged Neighborhoods?,2015,Housing Studies,,Journal Article,https://www.tandfonline.com/doi/abs/10.1080/02673037.2013.824559,North America,United States,English,Segregation and Redlining,,,,,
"Freeman, Lance",Jenny Schuetz,Producing Affordable Housing in Rising Markets: What Works?,2017,Cityscape,,Journal Article,https://www.jstor.org/stable/26328307,North America,United States,English,Development and Gentrification,,,,,
"Fulliove, Mindy Thompson",,An Antidote for the Unjust City: Planning to Stay,2015,Just City Essays: Volume One,"J. Max Bond Center, CUNY",Book - Chapter,https://static1.squarespace.com/static/5b5dfb72697a9837b1f6751b/t/5b7d8b5a88251b1adad06c60/1534954340713/JustCityEssays.pdf,North America,United States,English,Municipal Policy and Governance,Community Organizing and Citizen Participation,Racial and Social Justice,Black Perspectives on Planning Practice and Education,,
"Fulliove, Mindy Thompson",,Urban Alchemy: Restoring Joy in America’s Sorted-Out Cities,2013,,NYU Press,Book - Entire,https://books.google.ca/books/about/Urban_Alchemy.html?id=qXHQAQAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,"Sustainability, Environment, and Health",,,,,
"Fulliove, Mindy Thompson",,"Root Shock: How Tearing Up City Neighborhoods Hurts America, And What We Can Do About It",2016,,New Village Press,Book - Entire,https://books.google.ca/books/about/Root_Shock.html?id=08_TDgAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Development and Gentrification,,,,,
"Gates, Theaster",,Up from the Basement: The Artist and the Making of the Just City,2015,Just City Essays: Volume One,"J. Max Bond Center, CUNY",Book - Chapter,https://static1.squarespace.com/static/5b5dfb72697a9837b1f6751b/t/5b7d8b5a88251b1adad06c60/1534954340713/JustCityEssays.pdf,North America,United States,English,Black Perspectives on Planning Practice and Education,,,,,
"Gates, Theaster",,How to Build a House Museum,2018,,Art Gallery of Ontario,Book - Entire,https://books.google.ca/books/about/Theaster_Gates.html?id=JryAswEACAAJ&source=kp_book_description&redir_esc=y,North America,Canada,English,"Culture, Placemaking, and Black Geographies",,,,,
"Gene, Demby",,How Segregation Shapes Fatal Police Violence,2018,Code Switch,NPR,Online Material,https://www.npr.org/sections/codeswitch/2018/03/02/589483471/how-segregation-shapes-fatal-police-shootings,North America,United States,English,"Crime, Policing, and Surveillance",Segregation and Redlining,,,,
"Gene, Demby",,Housing Segregation and Redlining in America: A Short History ,2018,,NPR,Video,https://www.youtube.com/watch?v=O5FBJyqfoLM,North America,United States,English,Segregation and Redlining,,,,,
"Gooden, Mario",,"Dark Space: Architecture, Representation, Black Identity",2016,,Columbia University Press,Book - Entire,https://books.google.ca/books/about/Dark_Space.html?id=s7r9rQEACAAJ&source=kp_book_description&redir_esc=y,North America,United States,English,Architecture and Urban Design,,,,,
"Gray, Stephen","Ocampo, Mary Anne",Resilient Edges: Exploring a Socio-Ecological Urban Design Approach in Metro Manila,2017,The Plan Journal,,Journal Article,http://www.theplanjournal.com/article/resilient-edges-exploring-socio-ecological-urban-design-approach-metro-manila,Global,Philippines,English,"Sustainability, Environment, and Health",Architecture and Urban Design,,,,
"Gray, Stephen",,"Refugees, Resilience, and Public Space",2018,,Syria Initiative,Report,https://www.gsd.harvard.edu/project/refugees-resilience-and-public-space/,Global,Multiple countries / Global,English,"Sustainability, Environment, and Health",Public Space and Parks,,,,
"Griffin, Toni L",,Defining the Just City Beyond Black and White,2015,Just City Essays: Volume One,"J. Max Bond Center, CUNY",Book - Chapter,https://static1.squarespace.com/static/5b5dfb72697a9837b1f6751b/t/5b7d8b5a88251b1adad06c60/1534954340713/JustCityEssays.pdf,North America,United States,English,Black Perspectives on Planning Practice and Education,Segregation and Redlining,,,,
"Harris, Cheryl",,Whiteness as Property,1993,Harvard Law Review,,Journal Article,https://www.jstor.org/stable/pdf/1341787.pdf ,North America,United States,English,"Politics of Land, Property, and Colonialism",Racial and Social Justice,,,,
"Hood, Walter",,Urban Diaries,1997,,Spacemaker Press,Book - Entire,https://books.google.ca/books/about/Walter_Hood_Urban_Diaries.html?id=1WNwPQAACAAJ&source=kp_book_description&redir_esc=y,North America,United States,English,Architecture and Urban Design,Public Space and Parks,"Culture, Placemaking, and Black Geographies",,,
"Hood, Walter",,How urban spaces can preserve history and build community,2019,,TedX,Video,"https://www,youtube.com/watch?v=762c6pFpoqg ",North America,United States,English,"Culture, Placemaking, and Black Geographies","Culture, Placemaking, and Black Geographies",Public Space and Parks,,,
"Humber, Nadiyah J.",,In West Philadlephia Born and Raised or Moving to Bel-Air? Racial Steering as a Consequence of Using Race Data on Real Estate Websites,2020,Hastings Race & Poverty Law Journal,,Journal Article,https://docs.rwu.edu/law_fac_fs/307/,North America,United States,English,"Politics of Land, Property, and Colonialism",Segregation and Redlining,Development and Gentrification,,,
"Hunter, Marcus Anthony",,Black Citymakers: How the Philadelphia Negro Changed Urban America,2013,,Oxford University Press,Book - Entire,https://books.google.ca/books/about/Black_Citymakers.html?id=TMHcDciM3kMC&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Urban History,"Culture, Placemaking, and Black Geographies",,,,
"Hunter, Marcus Anthony",Zandria F. Robinson,Chocolate Cities: The Black Map of American Life,2018,,University of California Press,Book - Entire,https://www.ucpress.edu/book/9780520292833/chocolate-cities,North America,United States,English,Urban History,"Culture, Placemaking, and Black Geographies",,,,
"Hunter, Marcus Anthony","Mary Pattillo, Zandria F. Robinson and Keeanga-Yamahtta Taylor","Black Placemaking: Celebration, Play and Poetry",2016,"Theory, Culture & Society",,Journal Article,https://journals.sagepub.com/doi/abs/10.1177/0263276416635259,North America,United States,English,"Culture, Placemaking, and Black Geographies",Public Space and Parks,,,,
"Hutson, Malo",,"The Urban Struggle for Economic, Environmental and Social Justice",2015,,Routledge,Book - Entire,https://books.google.ca/books/about/The_Urban_Struggle_for_Economic_Environm.html?id=nZf4CgAAQBAJ&printsec=frontcover&source=kp_read_button&redir_esc=y#v=onepage&q&f=false,North America,United States,English,Racial and Social Justice,"Sustainability, Environment, and Health",,,,
"Jackson, April",,Cultural Competence and Racial Inclusion in New Urbanist Communities,2019,Research Agenda for New Urbanism,Routledge,Book - Chapter,https://books.google.ca/books?id=bz2tDwAAQBAJ&lpg=PP1&pg=PA81#v=onepage&q&f=false,North America,United States,English,Development and Gentrification,Architecture and Urban Design,Black Perspectives on Planning Practice and Education,,,
"Jackson, April",,"Accountability Matters: Beyond Commitment, the Role of Intermediate Mechanisms in Implementing Plans in Mixed Income Communities",2019,Housing Studies,,Journal Article,https://www.tandfonline.com/doi/abs/10.1080/02673037.2019.1595536?journalCode=chos20,North America,United States,English,Community Organizing and Citizen Participation,Municipal Policy and Governance,,,,
"Jackson, April",,"Barriers to Integrating New Urbanism in Mixed-Income Housing Plans in Chicago: Developer, Housing Official, and Consultant Perspectives",2018,Housing Policy Debate,,Journal Article,https://doi.org/10.1080/10511482.2018.1433703,North America,United States,English,Development and Gentrification,,,,,
"Jackson, April","Lee, A., Chrisinger, B., Greenlee, A., Garcia-Zambrana, I",Beyond Recruitment: Comparing Experiences of Climate and Diversity between International Students and Domestic Students of Color in U.S. Urban Planning Programs,2020,Journal of Planning Education and Research,,Journal Article,https://doi.org/10.1177/0739456X20902241,North America,United States,English,Black Perspectives on Planning Practice and Education,,,,,
"Jackson, April","Lee, A., Chrisinger, B., Greenlee, A., Garcia-Zambrana, I",All Talk No Walk: Student Perceptions on Integration of Diversity and Practice in Planning Programs,2018,Planning Practice & Research,,Journal Article,https://doi.org/10.1080/02697459.2018.1548207,North America,United States,English,Black Perspectives on Planning Practice and Education,,,,,
"Jeffers, Kristen",,You Want Me To Turn Where? On The Annoyances–And Dangers–Of Bad Street Signs,2018,,The Kojo Nnamdi Show,Online Material,https://wamu.org/story/18/02/19/you-want-me-to-turn-where-on-the-annoyances-and-dangers-of-bad-street-signs/,North America,United States,English,Architecture and Urban Design,Transportation,Public Space and Parks,,,
"Kamara, Mariam",,Interview with Live with Mariam Kamara,2020,Virtual Design Festival,,Video,https://www.youtube.com/watch?v=qIwTQ9AFHvY,Africa,Niger,English,Architecture and Urban Design,,,,,
"King, Brandon",,Organizing a Transition City: the case of Jackson Mississippi,2017,,Ouishare tV,Video,https://www.youtube.com/watch?v=RyZHXADwQn4,North America,United States,English,Public Housing and Cooperatives,Development and Gentrification,Racial and Social Justice,Community Organizing and Citizen Participation,,
"King, Brandon",,Making the Transition from Extraction to Regeneration,2019,,Bioneers,Video,https://www.youtube.com/watch?v=6Dp0yOHd9lk,North America,United States,English,"Sustainability, Environment, and Health",Development and Gentrification,Community Organizing and Citizen Participation,,,
"Lee, Bryan",,America’s Cities Were Designed to Oppress,2020,,Bloomberg CityLab,Online Material,https://www.bloomberg.com/news/articles/2020-06-03/how-to-design-justice-into-america-s-cities,North America,United States,English,Architecture and Urban Design,Racial and Social Justice,Public Space and Parks,,,
"Lee, Bryan ",,Design Justice for an Unjust World - Op-ed: How architecture is challenging privilege and power,2019,,Next City,Online Material,https://nextcity.org/features/view/design-justice-for-an-unjust-world,North America,United States,English,Architecture and Urban Design,Racial and Social Justice,,,,
"Lee, Bryan ",,"Race, Architecture, and Tales for the Hood",2016,,TEDx,Video,https://www.youtube.com/watch?v=_gfg3IB7i24,North America,United States,English,Architecture and Urban Design,"Culture, Placemaking, and Black Geographies",,,,
"Leggs, Brent",Kerri Rubman and Byrd Wood,Preserving African American Historic Places,2012,National Trust for Historic Preservation,,Online Material,https://forum.savingplaces.org/HigherLogic/System/DownloadDocumentFile.ashx?DocumentFileKey=8a25da05-bc46-3141-bf02-ec8e6cb72e0b&forceDialog=0 ,North America,United States,English,"Culture, Placemaking, and Black Geographies",,,,,
